title,url,rating,votes,title_lemmas,Жанр,Режиссер,Продюсер,Сценарист,Композитор,Страна,Монтажер,Художник-постановщик,Оператор,Формат,Год,Хронометраж,Сборы в России,Зрители в России,Бюджет,Сборы в мире,Сборы в США,Дата релиза в РФ,Мировая премьера,Релиз на DVD,Релиз на Blu-Ray,Дата ре-релиза в РФ
Начало,https://www.filmpro.ru/movies/5045,8.4,3115,['начало'],"['Боевик', 'Приключения']",['Кристофер Нолан'],"['Кристофер Нолан', 'Томас Тулл', 'Эмма Томас', 'Закария Алауи', 'Крис Бригэм', 'Джон Бернард', 'Джордан Голдберг', 'Томас Хэйслип', 'Канжиро Сакура']",['Кристофер Нолан'],['Ханс Циммер'],"['США', 'Великобритания']",['Ли Смит'],"['Dyas', 'Guy Hendrix']",['Уолли Пфистер'],"['2D', 'IMAX']",2010,148.0,21758661.0,3434706.0,160000000.0,825531030.0,292576195.0,2010,2010.0,2010.0,,2020.0
Парень с нашего кладбища,https://www.filmpro.ru/movies/332645,8.3,22,"['парень', 'кладбище']","['Комедия', 'Триллер']","['Илья Чижиков', 'Антон Чижиков']",['Сергей Сельянов'],['Владимир Серышев'],[],['Россия'],[],[],['Алексей Шубаков'],[],2015,90.0,249201.0,75641.0,50000000.0,,,2015,2015.0,,,
Рэмбо IV,https://www.filmpro.ru/movies/5698,8.3,24,"['рэмбо', 'iv']","['Боевик', 'Военный фильм', 'Триллер']",['Сильвестр Сталлоне'],[],"['Сильвестр Сталлоне', 'Дэвид Морелл', 'Арт Монтерастелли']",['Брайан Тайлер'],"['США', 'Германия']",[],[],['Глен МакФерсон'],[],2008,92.0,3270808.0,0.0,50000000.0,155167932.0,91300000.0,2008,2008.0,2008.0,,
Спираль,https://www.filmpro.ru/movies/10230,8.3,223,['спираль'],['Боевик'],['Андрей Волгин'],"['Алексей Гришин', 'Рената Пиотровски', 'Елена Ковалева']",['Константин Глушков'],['Александр Крюков'],['Россия'],['Алексей Гришин'],[],[],[],2014,100.0,1644274.0,257526.0,,,,2014,2014.0,2014.0,2014.0,
BTS: Открой свою душу. Фильм,https://www.filmpro.ru/movies/348920,8.3,79,"['bts', 'открой', 'душа', 'фильм']","['Документальный фильм', 'Музыкальный фильм']",['Пак Чжун Су'],[],[],[],['Южная Корея'],[],[],[],[],2019,105.0,,,,,,2019,,,,
Raving riot: рэйв у парламента,https://www.filmpro.ru/movies/357368,8.3,28,"['raving', 'riot', 'рэйв', 'парламент']",['Документальный фильм'],['Степан Поливанов'],"['Сергей Яхонтов', 'Павел Карыхалин', 'Идалия Иванова', 'Анна Саруханова', 'Арина Носкова']",[],[],"['Грузия', 'Россия']",[],[],[],[],2019,61.0,,,,,,2019,,,,
Пираты Карибского моря: На странных берегах,https://www.filmpro.ru/movies/5706,8.3,1215,"['пират', 'карибский', 'море', 'странный', 'берег']","['Боевик', 'Приключения', 'Фэнтези']",['Роб Маршалл'],"['Джерри Брукхаймер', 'Чад Оман', 'Тед Эллиот', 'Пэт Сэндстон', 'Терри Россио', 'Stenson', 'Mike', 'Джон ДеЛюка', 'Бэрри Х. Уолдман', 'Мелисса Рейд']","['Стюарт Битти', 'Тед Эллиот', 'Терри Россио', 'Джей Уолперт']",['Ханс Циммер'],['США'],"['Майкл Кан', 'Виатт Смит', 'Дэвид Бреннер']",['Джон Мир'],['Дариуш Вольски'],"['2D', '3D', 'IMAX']",2011,136.0,63581485.0,7429244.0,,,,2011,2011.0,,,
Всё или ничего,https://www.filmpro.ru/movies/343480,8.3,25,[],"['Комедия', 'Приключения']",['Дмитрий Суворов'],"['Дмитрий Суворов', 'Антон Белов', 'Александр Калушкин', 'Андрей Ляхов']",['Дмитрий Суворов'],['Михаил Казанок'],['Россия'],"['Дмитрий Суворов', 'Екатерина Пивнева', 'Дмитрий Слобцов']","['Максим Алипченко', 'Елена Казакевич']",['Юрий Никогосов'],[],2018,85.0,,,,,,2018,,,,
Самолёты,https://www.filmpro.ru/movies/4986,8.3,118,['самолёт'],"['Комедия', 'Мультфильм', 'Приключения']",['Клэй Холл'],[],[],[],['США'],[],[],[],"['2D', '3D']",2013,91.0,5662397.0,927290.0,50000000.0,,,2013,2013.0,2013.0,2013.0,
Логово Монстра,https://www.filmpro.ru/movies/340689,8.3,22,"['логово', 'монстр']","['Триллер', 'Ужасы']",['Дин Девлин'],"['Дин Девлин', 'Карстен Х.В. Лоренц', 'Брэндон Лэмдин', 'Марк Роскин', 'Рэйчел Олшан']",['Брэндон Бойс'],['Джозеф ЛоДука'],['США'],['Брайан Гоноси'],[],[],[],2018,110.0,287533.0,69911.0,,,,2018,,,,
